City,Lat,Long,Google Maps Link,Name,Category,List,Closed
Av. Brasília,38.6915837,-9.215977299999999,https://www.google.com/maps/place/Bel%C3%A9m+Tower/data=!4m2!3m1!1s0xd1ecb42c3c29c4b:0x3002dcadcf52513f,Belém Tower,other,want to go,
Av. Brasília,38.6958561,-9.193311999999999,https://www.google.com/maps/place/MAAT/data=!4m2!3m1!1s0xd1ecb4dd3e5f491:0xcb13504c19595bc4,MAAT,art,want to go,
Den Haag,52.076548800000005,4.3127187,https://www.google.com/maps/place/De+Bijenkorf+(Den+Haag)/data=!4m2!3m1!1s0x47c5b72413c67dc7:0xd3273f5690595dd4,De Bijenkorf (Den Haag),shop,want to go,
Amsterdam,52.366698799999995,4.891443499999999,https://www.google.com/maps/place/The+Magic+Mushroom+Gallery/data=!4m2!3m1!1s0x47c609c42bd9795f:0x7dfad9a10bb890f8,The Magic Mushroom Gallery,shop,favorite,
Amsterdam,52.3680016,4.887700000000001,https://www.google.com/maps/place/Beulings/data=!4m2!3m1!1s0x47c609c2195053c9:0xee01ba0d3850a52,Beulings,restaurant,want to go,
Bacharach,50.0507338,7.73492405,https://www.google.com/maps/place/Bacharach/data=!4m2!3m1!1s0x47bde04ade0f6acb:0x422d4d510db4160,Bacharach,other,want to go,
Bad Freienwalde (Oder)-Hohenwutzen,52.8367415,14.114962300000002,https://www.google.com/maps/place/Neuglietzener+Str./data=!4m2!3m1!1s0x47a9dcf1e1832da3:0x467021f9a764630b,Neuglietzener Str.,other,want to go,
Bad Harzburg,51.8706013,10.559844100000001,https://www.google.com/maps/place/Baumschwebebahn+Bad+Harzburg/data=!4m2!3m1!1s0x47a515aefdfdbb05:0x565f4f98546311c5,Baumschwebebahn Bad Harzburg,nature,favorite,
Bad Hindelang,47.43729329999999,10.466311750000001,https://www.google.com/maps/place/Schrecksee/data=!4m2!3m1!1s0x479c920ec1642465:0x27dcee68e84448e2,Schrecksee,other,want to go,
Bad Muskau,51.5475343,14.723102599999995,https://www.google.com/maps/place/Schloss+Muskau/data=!4m2!3m1!1s0x47088905d58a36e9:0x496d5d8efa161e91,Schloss Muskau,other,want to go,
